email_date,email_subject,company_1,eval_1,company_2,eval_2,company_3,eval_3,notes
5/6/2026,Daily Market Movers: Global Majors & Industry (06 May 2026),Avalo Therapeutics,34%,InflaRx,27%,MannKind,24%,
5/7/2026,Daily Market Movers: Global Majors & Industry (07 May 2026),Zealand Pharma,9%,Viatris,9%,BioGaia,9%,
5/8/2026,Weekly Market Movers: Global Majors & Industry (08 May 2026),Nanobiotix,39%,MBX Biosciences,39%,UniQure,34%,
5/8/2026,Daily Market Movers: Global Majors & Industry (08 May 2026),PTC Therapeutics,14%,Moderna,12%,NewAmsterdam Pharma,11%,
5/11/2026,Weekly Asia Market Movers: Global Majors & Industry (11 May 2026),Holy Stone Enterprise,46%,Beijing Wantai Biological Pharmacy,18%,Chengdu Olymvax Biopharmaceuticals,17%,
5/12/2026,Daily Market Movers: Global Majors & Industry (12 May 2026),Olympus,17%,Asahi Kasei,16%,PharmaNutra,14%,12 May: REVITALYZ phase III topline results.
5/13/2026,Daily Market Movers: Global Majors & Industry (13 May 2026),Corcept Therapeutics,12%,Tango Therapeutics,9%,Vera Therapeutics,7%,
5/14/2026,Daily Market Movers: Global Majors & Industry (14 May 2026),Nanobiotix,15%,Corcept Therapeutics,14%,Nippon Suisan Kaisha,13%,
5/15/2026,Weekly Market Movers: Global Majors & Industry (15 May 2026),Renascience,51%,Noveris Health Sciences,43%,Sellas Life Sciences Group,41%,
5/15/2026,Daily Market Movers: Global Majors & Industry (15 May 2026),Hamamatsu Photonics,23%,Towa Pharmaceutical,10%,Suzuken Group,6%,
5/18/2026,Weekly Asia Market Movers: Global Majors & Industry (18 May 2026),Hamamatsu Photonics,33%,Terumo,16%,Suven Life Sciences,16%,
5/18/2026,Daily Market Movers: Global Majors & Industry (18 May 2026),Terumo,19%,Sartorius,8%,Hamamatsu Photonics,8%,
5/19/2026,Daily Market Movers: Global Majors & Industry (19 May 2026),Olympus,8%,Corcept Therapeutics,6%,Liquidia Corporation,5%,
5/20/2026,Daily Market Movers: Global Majors & Industry (20 May 2026),Immunovant,35%,UBE Corporation,21%,Roivant Sciences,15%,
5/21/2026,Daily Market Movers: Global Majors & Industry (21 May 2026),Twist Bioscience,10%,BioMarin Pharmaceutical,8%,Immunome,7%,
5/25/2026,Weekly Market Movers: Global Majors & Industry (25 May 2026),UBE Corporation,25%,Immunovant,24%,Twist Bioscience,23%,
5/25/2026,Weekly Asia Market Movers: Global Majors & Industry (25 May 2026),Holy Stone Enterprise,45%,Sun Pharma Advanced Research,44%,HanAll BioPharma,38%,
5/25/2026,Daily Market Movers: Global Majors & Industry (25th May 2026),Oncolys BioPharma,44%,Unitika,24%,Sakai Chemical Industry,21%,
5/26/2026,Market Movers: Global Majors & Industry (26 May 2026),Twist Bioscience,7%,Scholar Rock,7%,Biohaven,7%,27 May: BLA submission for DYNE-251.
5/27/2026,Daily Market Movers: Global Majors & Industry (27th May 2026),Corcept Therapeutics,10%,Erasca,8%,BillionToOne,8%,27 May: Q4 and FY25 results.
5/28/2026,Daily Market Movers: Global Majors & Industry (28 May 2026),Agilent Technologies,17%,ICON,15%,Bruker,12%,
5/29/2026,Weekly Market Movers: Global Majors & Industry (29 May 2026),Bruker,29%,Sellas Life Sciences Group,20%,,
5/29/2026,Daily Market Movers: Global Majors & Industry (29 May 2026),Replimune,86%,Indaptus Therapeutics,27%,C4 Therapeutics,19%,
6/1/2026,Daily Market Movers: Global Majors & Industry (01 Jun 2026),Semnur Pharmaceuticals,46%,Curasight,25%,Edgewise Therapeutics,18%,
6/1/2026,Weekly Asia Market Movers: Global Majors & Industry (01 Jun 2026),Holy Stone Enterprise,28%,D&D Pharmatech,19%,PharmaEssentia,15%,
6/2/2026,Daily Market Movers: Global Majors & Industry (02 Jun 2026),Legend Biotech,42%,Glaukos,7%,Aclaris Therapeutics,7%,
6/4/2026,Daily Market Movers: Global Majors & Industry (04th Jun 2026),Indaptus Therapeutics,118%,Health Catalyst,48%,Absci,24%,
6/4/2026,Daily Market Movers: Global Majors & Industry (03 June 2026),Rezolute,14%,Abivax,13%,Replimune,12%,
6/5/2026,Weekly Market Movers: Global Majors & Industry (05 Jun 2026),Semnur Pharmaceuticals,47%,Glaukos,21%,Legend Biotech,20%,
6/5/2026,Daily Market Movers: Global Majors & Industry (05 Jun 2026),Oncolys BioPharma,9%,The Cooper Companies,8%,,
6/8/2026,Weekly Asia Market Movers: Global Majors & Industry (08 Jun 2026),L&C BIO,12%,Ipca Laboratories,11%,Bora Pharmaceuticals,10%,
6/8/2026,Daily Market Movers: Global Majors & Industry (03 June 2026),Rezolute,14%,Abivax,13%,Replimune,12%,
6/9/2026,Daily Market Movers: Global Majors & Industry (09 Jun 2026),Nuvalent,39%,Alto Neuroscience,16%,Zealand Pharma,11%,
6/10/2026,Daily Market Movers: Global Majors & Industry (10 Jun 2026),Semnur Pharmaceuticals,58%,Indaptus Therapeutics,18%,Clover Health,14%,
6/11/2026,Daily Market Movers: Global Majors & Industry (11th Jun 2026),MBX Biosciences,20%,Nurix Therapeutics,11%,Liquidia Corporation,10%,
6/12/2026,Daily Market Movers: Global Majors & Industry (12 Jun 2026),Alumis,16%,Enliven Therapeutics,14%,Rapport Therapeutics,9%,
6/12/2026,Weekly Market Movers: Global Majors & Industry (12 Jun 2026),Tango Therapeutics,53%,Nuvalent,36%,Enliven Therapeutics,33%,
6/15/2026,Weekly Asia Market Movers: Global Majors & Industry (15 Jun 2026),Holy Stone Enterprise,40%,Shanghai Serum BioTechnology,22%,Alterity Therapeutics,21%,
6/15/2026,Daily Market Movers: Global Majors & Industry (15 Jun 2026),Intellia Therapeutics,23%,MBX Biosciences,10%,,
6/16/2026,Daily Market Movers: Global Majors & Industry (16 Jun 2026),Moderna,6%,Cytokinetics,5%,Twist Bioscience,5%,
6/18/2026,Daily Market Movers: Global Majors & Industry (18th Jun 2026),Idorsia,26%,OmniAb,16%,Solid Biosciences,14%,
6/18/2026,Daily Market Movers: Global Majors & Industry (17 June 2026),Elicio Therapeutics,72%,Indaptus Therapeutics,20%,,
6/19/2026,Daily Market Movers: Global Majors & Industry (19th Jun 2026),Evonik Industries,7%,PolyPeptide Group,5%,Sartorius,5%,
6/19/2026,Weekly Market Movers: Global Majors & Industry (19 Jun 2026),Outlook Therapeutics,31%,Intellia Therapeutics,29%,,
6/22/2026,Weekly Asia Market Movers: Global Majors & Industry (22 Jun 2026),D&D Pharmatech,30%,PYC Therapeutics,26%,Caliway Biopharmaceuticals,25%,
6/22/2026,Daily Market Movers: Global Majors & Industry (22 Jun 2026),Definium Therapeutics,50%,Apogee Therapeutics,47%,Nuvectis Pharma,20%,22 Jun: Phase 3 VELA trial results.
6/23/2026,Daily Market Movers: Global Majors & Industry (23 Jun 2026),Autolus Therapeutics,12%,Iovance Biotherapeutics,9%,,
6/23/2026,Daily Market Movers: Global Majors & Industry (17 June 2026),Elicio Therapeutics,72%,Indaptus Therapeutics,20%,,
6/24/2026,Daily Market Movers: Global Majors & Industry (24 Jun 2026),Definium Therapeutics,16%,NeoGenomics,12%,Adaptive Biotechnologies,12%,
6/25/2026,Daily Market Movers: Global Majors & Industry (25th Jun 2026),Bio-Techne,20%,Kymera Therapeutics,17%,Nurix Therapeutics,16%,
6/26/2026,Daily Market Movers: Global Majors & Industry (26th Jun 2026),CapForce,346%,Zura Bio,19%,Sellas Life Sciences Group,18%,
6/29/2026,Daily Market Movers: Global Majors & Industry (29 Jun 2026),Erasca,15%,GNI Group,11%,AbCellera Biologics,10%,
6/29/2026,Weekly Asia Market Movers: Global Majors & Industry (29 Jun 2026),HanAll BioPharma,39%,Neuren Pharmaceuticals,34%,Sichuan Biokin Pharmaceutical,31%,
6/29/2026,Weekly Market Movers: Global Majors & Industry (26th June 2026),Bio-Techne,23%,Charles River Laboratories International,17%,ICON,16%,
6/30/2026,Daily Market Movers: Global Majors & Industry (30 Jun 2026),Abivax,39%,Contineum Therapeutics,9%,Ultragenyx Pharmaceutical,9%,
7/1/2026,Daily Market Movers: Global Majors & Industry (01 Jul 2026),Zenas BioPharma,10%,Codexis,7%,Nuvectis Pharma,6%,
7/2/2026,Daily Market Movers: Global Majors & Industry (02 Jul 2026),Sellas Life Sciences Group,13%,MannKind,12%,Damora Therapeutics,10%,
7/3/2026,Daily Market Movers: Global Majors & Industry (3 Jul 2026),GENFIT,22%,Toyobo,8%,Abivax,6%,
7/3/2026,Weekly Market Movers: Global Majors & Industry (03 Jul 2026),Abivax,60%,Sellas Life Sciences Group,21%,Moderna,19%,
7/6/2026,Weekly Asia Market Movers: Global Majors & Industry (06 Jul 2026),Beijing Hotgen Biotech,59%,Easton Biopharmaceuticals,32%,Health and Happiness (H&H) International Holdings,27%,
7/6/2026,Daily Market Movers: Global Majors & Industry (06 Jul 2026),Bioventus,12%,REGENXBIO,12%,Omeros,11%,
7/7/2026,Daily Market Movers: Global Majors & Industry (07 Jul 2026),Crinetics Pharmaceuticals,99%,Agios Pharmaceuticals,18%,Viking Therapeutics,9%,
7/8/2026,Daily Market Movers: Global Majors & Industry (08 Jul 2026),Xenon Pharmaceuticals,10%,COMPASS Pathways,8%,Edgewise Therapeutics,7%,
7/9/2026,Daily Market Movers: Global Majors & Industry (09 Jul 2026),BridgeBio Pharma,15%,Damora Therapeutics,12%,,
7/10/2026,Weekly Market Movers: Global Majors & Industry (10 Jul 2026),Satellos Bioscience,24%,Kuros Biosciences,12%,Inventiva,9%,
7/10/2026,Daily Market Movers: Global Majors & Industry (10th Jul 2026),Aardvark Therapeutics,53%,Forte Biosciences,20%,Sensei Biotherapeutics,11%,
7/13/2026,Weekly Asia Market Movers: Global Majors & Industry (13 Jul 2026),Lin Bioscience,26%,Chongqing Lummy Pharmaceutical,25%,Suven Life Sciences,14%,
7/13/2026,Daily Market Movers: Global Majors & Industry (13 Jul 2026),Biogen,5%,Wacker-Chemie,4%,Denali Therapeutics,3%,
7/14/2026,Daily Market Movers: Global Majors & Industry (14 Jul 2026),AtaiBeckley,14%,Damora Therapeutics,11%,,
7/15/2026,Daily Market Movers: Global Majors & Industry (15 Jul 2026),Iovance Biotherapeutics,21%,Annexon Biosciences,17%,Camurus,17%,
7/16/2026,Daily Market Movers: Global Majors & Industry (16th Jul 2026),AtaiBeckley,34%,Abbott Laboratories,11%,GH Research,8%,
7/17/2026,Daily Market Movers: Global Majors & Industry (17th Jul 2026),Orion,13%,Sellas Life Sciences Group,12%,Oruka Therapeutics,12%,
7/17/2026,Weekly Market Movers: Global Majors & Industry (17th Jul 2026),AtaiBeckley,39%,Iovance Biotherapeutics,18%,Camurus,13%,
7/20/2026,Weekly Asia Market Movers: Global Majors & Industry (20 Jul 2026),HLB Pharmaceutical,31%,Sam Chun Dang Pharm,29%,HLB LifeScience,28%,
7/20/2026,Daily Market Movers: Global Majors & Industry (20 Jul 2026),Sensei Biotherapeutics,9%,Nuvation Bio,8%,Xencor,8%,
7/21/2026,Daily Market Movers: Global Majors & Industry (21 Jul 2026),Palvella Therapeutics,16%,Vor Biopharma,15%,Rezolute,14%,
7/22/2026,Daily Market Movers: Global Majors & Industry (22 Jul 2026),Nykode Therapeutics,52%,Arrowhead Pharmaceuticals,19%,Forte Biosciences,12%,
7/23/2026,Daily Market Movers: Global Majors & Industry (23rd Jul 2026),MBX Biosciences,9%,Thermo Fisher Scientific,9%,Quest Diagnostics,9%,
7/24/2026,Weekly Market Movers: Global Majors & Industry (24 Jul 2026),Hansa Biopharma,22%,Circio,20%,Agenus,19%,
7/24/2026,Daily Market Movers: Global Majors & Industry (24 Jul 2026),CapForce,131%,Hansa Biopharma,28%,ORIC Pharmaceuticals,11%,
7/27/2026,Weekly Asia Market Movers: Global Majors & Industry (27 Jul 2026),Genscript Biotech,20%,Peptron,19%,Mezzion Pharma,18%,
7/27/2026,Daily Market Movers: Global Majors & Industry (27 Jul 2026),Zenas BioPharma,8%,Shiseido,8%,Idorsia,8%,
7/28/2026,Daily Market Movers: Global Majors & Industry (28 Jul 2026),Kiniksa Pharmaceuticals,25%,Repligen,11%,Incyte,9%,
7/29/2026,Daily Market Movers: Global Majors & Industry (29 Jul 2026),NeoGenomics,14%,GE HealthCare,12%,,
7/30/2026,Daily Market Movers: Global Majors & Industry (30th Jul 2026),Bausch Health Companies,30%,Corcept Therapeutics,27%,Agenus,19%,
7/31/2026,Daily Market Movers: Global Majors & Industry (31 Jul 2026),Replimune,107%,Alvotech,15%,Bausch Health Companies,14%,
7/31/2026,Weekly Market Movers: Global Majors & Industry (31 Jul 2026),Bausch Health Companies,56%,Forte Biosciences,40%,Alvotech,35%,
8/3/2026,Daily Market Movers: Global Majors & Industry (03 Aug 2026),Sellas Life Sciences Group,12%,Twist Bioscience,10%,AxoGen,8%,
8/3/2026,Weekly Asia Market Movers: Global Majors & Industry (03 Aug 2026),Peptron,29%,Neuren Pharmaceuticals,11%,Fosun International,10%,
8/4/2026,Daily Market Movers: Global Majors & Industry (04 Aug 2026),Edgewise Therapeutics,17%,Septerna,12%,Spyre Therapeutics,11%,
8/5/2026,Daily Market Movers: Global Majors & Industry (05th Aug 2026),UroGen Pharma,17%,Twist Bioscience,16%,Travere Therapeutics,12%,
8/7/2026,Weekly Market Movers: Global Majors & Industry (07 Aug 2026),Iovance Biotherapeutics,56%,Helus Pharma,49%,Caris Life Sciences,45%,
8/7/2026,Daily Market Movers: Global Majors & Industry (07 Aug 2026),Natera,21%,ROHTO Pharmaceutical,21%,Halozyme Therapeutics,20%,
8/10/2026,Daily Market Movers: Global Majors & Industry (10th Aug 2026),AbCellera Biologics,35%,Olympus,10%,,
8/10/2026,Weekly Asia Market Movers: Global Majors & Industry (10 Aug 2026),Qurient Therapeutics,57%,Genscript Biotech,48%,DNA Link,46%,
8/11/2026,Daily Market Movers: Global Majors & Industry (11 Aug 2026),Belite Bio,6%,Legend Biotech,6%,GeneDx (USA),5%,
8/12/2026,Daily Market Movers: Global Majors & Industry (12th Aug 2026),Immunome,7%,Sellas Life Sciences Group,7%,AbCellera Biologics,6%,
8/13/2026,Daily Market Movers: Global Majors & Industry (13 Aug 2026),Omeros,26%,Unitika,23%,Oncolys BioPharma,17%,
8/14/2026,Weekly Market Movers: Global Majors & Industry (14 Aug 2026),AbCellera Biologics,64%,Inovio Pharmaceuticals,63%,Capricor Therapeutics,62%,
8/14/2026,Daily Market Movers: Global Majors & Industry (14 Aug 2026),Sagimet Biosciences,14%,Iovance Biotherapeutics,7%,Celcuity,6%,
8/17/2026,Weekly Asia Market Movers: Global Majors & Industry (17 Aug 2026),Lin Bioscience,32%,Marksans Pharma,22%,Holy Stone Enterprise,17%,
8/18/2026,Daily Market Movers: Global Majors & Industry (18 Aug 2026),Amylyx Pharmaceuticals,64%,Haemonetics,16%,Nuvectis Pharma,10%,
8/19/2026,Daily Market Movers: Global Majors & Industry (19 Aug 2026),Moderna,177%,Nykode Therapeutics,62%,Humacyte,27%,
8/20/2026,Daily Market Movers: Global Majors & Industry (20 Aug 2026),Oxford Nanopore Technologies,18%,Prelude Therapeutics,12%,Iovance Biotherapeutics,12%,
8/21/2026,Daily Market Movers: Global Majors & Industry (21 Aug 2026),Sellas Life Sciences Group,15%,Bavarian Nordic,9%,Moderna,9%,
8/21/2026,Weekly Market Movers: Global Majors & Industry (21 Aug 2026),Moderna,129%,Amylyx Pharmaceuticals,79%,Oxford Nanopore Technologies,39%,
8/24/2026,Weekly Asia Market Movers: Global Majors & Industry (24 Aug 2026),JenKem Technology,55%,Hanmi Pharmaceutical,28%,CSL,26%,
8/25/2026,Daily Market Movers: Global Majors & Industry (25 Aug 2026),AbCellera Biologics,18%,Inhibrx Biosciences,17%,Moderna,14%,
8/26/2026,Daily Market Movers: Global Majors & Industry (26 Aug 2026),Biohaven,18%,Capricor Therapeutics,13%,Erasca,8%,
8/27/2026,Daily Market Movers: Global Majors & Industry (27 Aug 2026),Nanobiotix,11%,Sarepta Therapeutics,11%,Sellas Life Sciences Group,11%,
8/31/2026,Daily Market Movers: Global Majors & Industry (31st Aug 2026),Sumitomo Pharma,8%,Alvotech,7%,Ascendis Pharma,5%,
8/31/2026,Weekly Asia Market Movers: Global Majors & Industry (31 Aug 2026),Zhuzhou Qianjin Pharmaceutical,24%,Health and Happiness (H&H) International Holdings,23%,Oncolys BioPharma,21%,
9/1/2026,Daily Market Movers: Global Majors & Industry (01 Sep 2026),Moderna,10%,Vir Biotechnology,6%,Mitsui Chemicals,6%,
